,Medium,N2,O2,CO2,H2,CH4,CO,Air
491,957,100 %,,,,,,
492,1131,,,20 %,80 %,,,
493,1149,80 %,,20 %,,,,
494,1156,,,2 %,,20 %,,78 %
495,1280,,,20 %,80 %,,,
496,1323,,,,,25 %,,
497,1347,,,,,15 %,,
498,1352,100 %,,,,,,
499,1361,80 %,,20 %,,,,
500,1367,,,5 %,,,,95 %
501,1401,100 %,,,,,,
502,1409,,,,,20 %,,
503,1410,80 %,,20 %,,,,
504,1455,,,100 %,,,,
505,1485,100 %,,,,,,
506,1529,80 %,,20 %,,,,
507,1567,,,,,50 %,,
508,1568,,,,,20 %,,
509,1585,,,3 %,,,,97 %
510,1656,80 %,,20 %,,,,
511,1721,,,20 %,80 %,,,
512,397,80 %,,20 %,,,,
513,979,80 %,,20 %,,,,
514,1082,100 %,,,,,,
515,48,100 %,,,,,,
516,60,,,100 %,,,,
517,63,100 %,,,,,,
518,503f,80 %,,20 %,,,,
519,63c,100 %,,,,,,
520,63a,100 %,,,,,,
521,63b,100 %,,,,,,
522,78c,80 %,,20 %,,,,
523,503,80 %,,20 %,,,,
524,81a,27 %,,20 %,53 %,,,
525,88c,80 %,,20 %,,,,
526,95,100 %,,,,,,
527,113,100 %,,,,,,
528,113a,100 %,,,,,,
529,122,80 %,,20 %,,,,
530,124,80 %,,20 %,,,,
531,135,80 %,,20 %,,,,
532,135a,80 %,,20 %,,,,
533,135c,80 %,,20 %,,,,
534,140,,,100 %,,,,
535,141c,80 %,,20 %,,,,
536,228,80 %,,20 %,,,,
537,148,100 %,,,,,,
538,149,80 %,,20 %,,,,
539,159,,,100 %,,,,
540,1310,,,100 %,,,,
541,163,100 %,,,,,,
542,169,100 %,,,,,,
543,169b,100 %,,,,,,
544,331,100 %,,,,,,
545,350,100 %,,,,,,
546,454,80 %,,20 %,,,,
547,193,80 %,,20 %,,,,
548,195c,80 %,,20 %,,,,
549,195b,80 %,,20 %,,,,
550,195a,80 %,,20 %,,,,
551,195,80 %,,20 %,,,,
552,195d,,,20 %,80 %,,,
553,196,80 %,,20 %,,,,
554,198,80 %,,20 %,,,,
555,212,80 %,,20 %,,,,
556,212a,80 %,,20 %,,,,
557,213,80 %,,20 %,,,,
558,233,80 %,,20 %,,,,
559,275,80 %,,20 %,,,,
560,291,,,20 %,80 %,,,
561,292,100 %,,,,,,
562,301,100 %,,,,,,
563,311a,,,20 %,80 %,,,
564,314,80 %,,20 %,,,,
565,316,,,,,,100 %,
566,318b,80 %,,20 %,,,,
567,320,80 %,,20 %,,,,
568,323,,,100 %,,,,
569,326,80 %,,20 %,,,,
570,193b,80 %,,20 %,,,,
571,193a,,,20 %,80 %,,,
572,329,80 %,,20 %,,,,
573,330,,,100 %,,,,
574,334a,80 %,,20 %,,,,
575,336,80 %,,20 %,,,,
576,337,80 %,,20 %,,,,
577,342,,,,100 %,,,
578,346,100 %,,,,,,
579,347,80 %,,20 %,,,,
580,347a,80 %,,20 %,,,,
581,383,80 %,,20 %,,,,
582,383a,80 %,,20 %,,,,
583,383b,,,20 %,80 %,,,
584,385,80 %,,20 %,,,,
585,386,80 %,,20 %,,,,
586,395,80 %,,20 %,,,,
587,395a,,,20 %,80 %,,,
588,407,80 %,,20 %,,,,
589,410,100 %,,,,,,
590,481,80 %,,20 %,,,,
591,491,50 %,,10 %,40 %,,,
592,492,100 %,,,,,,
593,496,80 %,,20 %,,,,
594,497,80 %,,20 %,,,,
595,503c,,,100 %,,,,
596,523,,,100 %,,,,
597,540,80 %,,20 %,,,,
598,541,80 %,,20 %,,,,
599,558,80 %,,20 %,,,,
600,559,100 %,,,,,,
601,611,,,20 %,80 %,,,
602,612,80 %,,20 %,,,,
603,640a,80 %,,20 %,,,,
604,666,,,100 %,,,,
605,667,80 %,,20 %,,,,
606,678,,,100 %,,,,
607,689,100 %,,,,,,
608,704,,,100 %,,,,
609,711a,80 %,,20 %,,,,
610,712,,,100 %,,,,
611,730,,,20 %,80 %,,,
612,732,,,20 %,80 %,,,
613,732a,80 %,,20 %,,,,
614,734a,,,20 %,80 %,,,
615,739,80 %,,20 %,,,,
616,770,100 %,,,,,,
617,778a,,,20 %,80 %,,,
618,792,,,20 %,80 %,,,
619,792a,,,20 %,80 %,,,
620,792b,,,20 %,80 %,,,
621,792c,,,20 %,80 %,,,
622,793,,,100 %,,,,
623,795,27 %,,20 %,53 %,,,
624,816,80 %,,20 %,,,,
625,825a,80 %,,20 %,,,,
626,826,80 %,,20 %,,,,
627,833,100 %,,,,,,
628,835,80 %,,20 %,,,,
629,837,80 %,,20 %,,,,
630,861,80 %,,20 %,,,,
631,861a,80 %,,20 %,,,,
632,875,80 %,,20 %,,,,
633,901,,,100 %,,,,
634,901a,,,100 %,,,,
635,912,80 %,,20 %,,,,
636,915,,,100 %,,,,
637,916,80 %,,20 %,,,,
638,1020,53 %,,13 %,33 %,,,
639,1022,80 %,,20 %,,,,
640,1094,40 %,,20 %,40 %,,,
641,1210a,,,20 %,80 %,,,
642,1210b,,,20 %,80 %,,,
643,1237,100 %,,,,,,
644,1250,80 %,,20 %,,,,
645,1267,80 %,,20 %,,,,
646,1290,100 %,,,,,,
647,1293,53 %,,13 %,33 %,,,
648,1360,80 %,,20 %,,,,
649,1597,100 %,,,,,,
650,1597a,100 %,,,,,,
651,1675,,,20 %,80 %,,,
652,1699,80 %,,20 %,,,,
653,194,80 %,,20 %,,,,
654,194a,80 %,,20 %,,,,
655,201,80 %,,20 %,,,,
656,202,80 %,,20 %,,,,
657,334,80 %,,20 %,,,,
658,503d,80 %,,20 %,,,,
659,504,80 %,,20 %,,,,
660,505,80 %,,20 %,,,,
661,507,33 %,,,,,66 %,
662,507b,,,100 %,,,,
663,509,80 %,,20 %,,,,
664,509a,80 %,,20 %,,,,
665,517,80 %,,20 %,,,,
666,527,,,100 %,,,,
667,666a,,,100 %,,,,
668,796,40 %,,20 %,40 %,,,
669,1058c,77 %,4 %,19 %,,,,
670,1570,80 %,2 %,18 %,,,,
671,1585a,,,,,,,100 %
672,1630,,,,,,,100 %
673,1635,,,,,,,100 %
674,1208,100 %,,,,,,
675,52,80 %,,20 %,,,,
676,142,75 %,10 %,15 %,,,,
677,1028,10 %,,,,,90 %,
678,1053a,80 %,,20 %,,,,
679,1011,80 %,2 %,18 %,,,,
680,1011a,80 %,7 %,13 %,,,,
681,1011d,10 %,2 %,88 %,,,,
682,1743,76 %,1 %,18 %,5 %,,,
683,1058,80 %,10 %,10 %,,,,
684,1058a,80 %,18 %,2 %,,,,
685,1058b,80 %,18 %,2 %,,,,
686,1058e,80 %,18 %,2 %,,,,
687,1114,80 %,5 %,15 %,,,,
688,1308,80 %,,20 %,,,,
689,1376,,,,,50 %,,
690,1145,,4 %,,,,,
691,1423,,,,,20 %,,80 %
692,26,100 %,,,,,,
693,1634,70 %,,,,,,30 %
694,935,80 %,,20 %,,,,
695,503b,80 %,,20 %,,,,
696,1793,,,5 %,,,,95 %
697,909,55 %,,15 %,30 %,,,
698,399a,80 %,,20 %,,,,
699,194b,80 %,,20 %,,,,
700,1597b,100 %,,,,,,
701,1800,,,10 %,,,,90 %
702,1801,80 %,,20 %,,,,
703,1729,,,100 %,,,,
704,1757,100 %,,,,,,
705,945a,100 %,,,,,,
706,119b,66 %,,7 %,27 %,,,
707,534,,,20 %,80 %,,,
708,545c,100 %,,,,,,
709,666b,,,20 %,80 %,,,
710,503e,,,50 %,50 %,,,
