Organism Group,Name,Name Link,Taxonomy Link,Growth media,Growth Media Links,External Links
Bacterium,Azotobacter vinelandii DSM 86,https://mediadive.dsmz.de/strains/view/DSM 86,https://mediadive.dsmz.de/taxonomy?level=species&item=Azotobacter vinelandii,"['3', '441']","['https://mediadive.dsmz.de/medium/3', 'https://mediadive.dsmz.de/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-86', 'https://bacdive.dsmz.de/strain/12752']"
Bacterium,Azotobacter vinelandii DSM 87,https://mediadive.dsmz.de/strains/view/DSM 87,https://mediadive.dsmz.de/taxonomy?level=species&item=Azotobacter vinelandii,"['3', '441']","['https://mediadive.dsmz.de/medium/3', 'https://mediadive.dsmz.de/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-87', 'https://bacdive.dsmz.de/strain/12753']"
Bacterium,Azorhizophilus paspali DSM 88,https://mediadive.dsmz.de/strains/view/DSM 88,https://mediadive.dsmz.de/taxonomy?level=species&item=Azorhizophilus paspali,"['3', '441']","['https://mediadive.dsmz.de/medium/3', 'https://mediadive.dsmz.de/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-88', 'https://bacdive.dsmz.de/strain/12708']"
Bacterium,Azomonas agilis DSM 89,https://mediadive.dsmz.de/strains/view/DSM 89,https://mediadive.dsmz.de/taxonomy?level=species&item=Azomonas agilis,"['3', '441']","['https://mediadive.dsmz.de/medium/3', 'https://mediadive.dsmz.de/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-89', 'https://bacdive.dsmz.de/strain/12718']"
Bacterium,Priestia megaterium DSM 90,https://mediadive.dsmz.de/strains/view/DSM 90,https://mediadive.dsmz.de/taxonomy?level=species&item=Priestia megaterium,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-90', 'https://bacdive.dsmz.de/strain/734']"
Bacterium,Metabacillus fastidiosus DSM 91,https://mediadive.dsmz.de/strains/view/DSM 91,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-91', 'https://bacdive.dsmz.de/strain/672']"
Bacterium,Clostridium formicaceticum DSM 92,https://mediadive.dsmz.de/strains/view/DSM 92,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-92', 'https://bacdive.dsmz.de/strain/2587']"
Bacterium,Clostridium formicaceticum DSM 94,https://mediadive.dsmz.de/strains/view/DSM 94,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-94', 'https://bacdive.dsmz.de/strain/2589']"
Bacterium,Clostridium formicaceticum DSM 95,https://mediadive.dsmz.de/strains/view/DSM 95,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-95', 'https://bacdive.dsmz.de/strain/2590']"
Bacterium,Clostridium formicaceticum DSM 96,https://mediadive.dsmz.de/strains/view/DSM 96,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-96', 'https://bacdive.dsmz.de/strain/2591']"
Bacterium,Clostridium formicaceticum DSM 97,https://mediadive.dsmz.de/strains/view/DSM 97,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-97', 'https://bacdive.dsmz.de/strain/2592']"
Bacterium,Clostridium formicaceticum DSM 98,https://mediadive.dsmz.de/strains/view/DSM 98,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-98', 'https://bacdive.dsmz.de/strain/2593']"
Bacterium,Clostridium formicaceticum DSM 99,https://mediadive.dsmz.de/strains/view/DSM 99,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-99', 'https://bacdive.dsmz.de/strain/2594']"
Bacterium,Clostridium formicaceticum DSM 100,https://mediadive.dsmz.de/strains/view/DSM 100,https://mediadive.dsmz.de/taxonomy?level=species&item=Clostridium formicaceticum,['14'],['https://mediadive.dsmz.de/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-100', 'https://bacdive.dsmz.de/strain/2595']"
Bacterium,Ancylobacter aquaticus DSM 101,https://mediadive.dsmz.de/strains/view/DSM 101,https://mediadive.dsmz.de/taxonomy?level=species&item=Ancylobacter aquaticus,"['7', 'J346', 'J349']","['https://mediadive.dsmz.de/medium/7', 'https://mediadive.dsmz.de/medium/J346', 'https://mediadive.dsmz.de/medium/J349']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-101', 'https://bacdive.dsmz.de/strain/17385']"
Bacterium,Spirosoma sp. DSM 102,https://mediadive.dsmz.de/strains/view/DSM 102,https://mediadive.dsmz.de/taxonomy?level=species&item=Spirosoma sp.,['7'],['https://mediadive.dsmz.de/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-102', 'https://bacdive.dsmz.de/strain/3821']"
Bacterium,Flectobacillus major DSM 103,https://mediadive.dsmz.de/strains/view/DSM 103,https://mediadive.dsmz.de/taxonomy?level=species&item=Flectobacillus major,['7'],['https://mediadive.dsmz.de/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-103', 'https://bacdive.dsmz.de/strain/3784']"
Bacterium,Rhodospirillum rubrum DSM 107,https://mediadive.dsmz.de/strains/view/DSM 107,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodospirillum rubrum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-107', 'https://bacdive.dsmz.de/strain/14008']"
Bacterium,Rhodocyclus tenuis DSM 109,https://mediadive.dsmz.de/strains/view/DSM 109,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodocyclus tenuis,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-109', 'https://bacdive.dsmz.de/strain/13926']"
Bacterium,Rhodocyclus gracilis DSM 110,https://mediadive.dsmz.de/strains/view/DSM 110,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodocyclus gracilis,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-110', 'https://bacdive.dsmz.de/strain/13927']"
Bacterium,Rhodocyclus tenuis DSM 111,https://mediadive.dsmz.de/strains/view/DSM 111,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhizobium aggregatum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-111', 'https://bacdive.dsmz.de/strain/13928']"
