Organism Group,Name,Name Link,Taxonomy Link,Growth Media Links,External Links
Bacterium,Paracoccus pantotrophus DSM 65,/strains/view/DSM 65,/taxonomy?level=species&item=Paracoccus denitrificans,"['/medium/1', '/medium/81']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-65', 'https://bacdive.dsmz.de/strain/13707']"
Bacterium,Aquaspirillum serpens DSM 68,/strains/view/DSM 68,/taxonomy?level=species&item=Aquaspirillum serpens,"['/medium/7', '/medium/37', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-68', 'https://bacdive.dsmz.de/strain/10435']"
Bacterium,Nannocystis exedens DSM 71,/strains/view/DSM 71,/taxonomy?level=species&item=Nannocystis exedens,['/medium/9'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-71', 'https://bacdive.dsmz.de/strain/10177']"
Bacterium,Metabacillus fastidiosus DSM 72,/strains/view/DSM 72,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-72', 'https://bacdive.dsmz.de/strain/665']"
Bacterium,Metabacillus fastidiosus DSM 73,/strains/view/DSM 73,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-73', 'https://bacdive.dsmz.de/strain/666']"
Bacterium,Spirosoma linguale DSM 74,/strains/view/DSM 74,/taxonomy?level=species&item=Spirosoma linguale,['/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-74', 'https://bacdive.dsmz.de/strain/3819']"
Bacterium,Spirosoma linguale DSM 75,/strains/view/DSM 75,/taxonomy?level=species&item=Spirosoma linguale,['/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-75', 'https://bacdive.dsmz.de/strain/3820']"
Bacterium,Metabacillus fastidiosus DSM 76,/strains/view/DSM 76,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-76', 'https://bacdive.dsmz.de/strain/667']"
Bacterium,Metabacillus fastidiosus DSM 77,/strains/view/DSM 77,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-77', 'https://bacdive.dsmz.de/strain/668']"
Bacterium,Metabacillus fastidiosus DSM 78,/strains/view/DSM 78,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-78', 'https://bacdive.dsmz.de/strain/669']"
Bacterium,Metabacillus fastidiosus DSM 82,/strains/view/DSM 82,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-82', 'https://bacdive.dsmz.de/strain/670']"
Bacterium,Metabacillus fastidiosus DSM 83,/strains/view/DSM 83,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-83', 'https://bacdive.dsmz.de/strain/671']"
Bacterium,Pseudomonas putida DSM 84,/strains/view/DSM 84,/taxonomy?level=species&item=Pseudomonas putida,['/medium/1a'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-84', 'https://bacdive.dsmz.de/strain/12895']"
Bacterium,Azotobacter vinelandii DSM 85,/strains/view/DSM 85,/taxonomy?level=species&item=Azotobacter vinelandii,"['/medium/3', '/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-85', 'https://bacdive.dsmz.de/strain/12751']"
Bacterium,Azotobacter vinelandii DSM 86,/strains/view/DSM 86,/taxonomy?level=species&item=Azotobacter vinelandii,"['/medium/3', '/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-86', 'https://bacdive.dsmz.de/strain/12752']"
